Timestamp,Where do you tend to keep your phone,Do you tend to keep your phone on your left or right?,"When you keep your phone in a pants pocket, which pocket do you normally use?",Which style pants do you tend to wear?
3/6/2020 11:57:58,Pants pocket,Right,Back pocket,Womens
3/6/2020 11:58:29,Coat/Jacket pocket,Left,,
3/6/2020 12:06:13,Pants pocket,Right,Front pocket,Mens
3/6/2020 12:14:20,my bag,Right,Front pocket,Womens
3/6/2020 12:14:32,Pants pocket,Right,Back pocket,Womens
3/6/2020 12:19:51,Coat/Jacket pocket,Right,,
3/6/2020 12:20:44,Purse/Handbag,Right,,
3/6/2020 12:20:52,Pants pocket,Right,Front pocket,Mens
3/6/2020 12:28:03,Pants pocket,Left,Front pocket,Mens
3/6/2020 12:30:51,Pants pocket,Left,Front pocket,Mens
3/6/2020 12:30:55,Purse/Handbag,Right,,
3/6/2020 12:32:09,Pants pocket,Right,Front pocket,Mens
3/6/2020 12:32:45,Pants pocket,Right,Back pocket,Mens
3/6/2020 12:40:11,Coat/Jacket pocket,Right,,
3/6/2020 12:41:08,Pants pocket,Right,Front pocket,Mens
3/6/2020 12:46:25,Pants pocket,Right,Front pocket,Mens
3/6/2020 12:48:30,Purse/Handbag,Right,,
3/6/2020 12:58:28,In my hand or on the desk/table. My phone is too big for my pockets,Right,Back pocket,
3/6/2020 13:10:40,Pants pocket,Left,Back pocket,Womens
3/6/2020 13:13:14,Coat/Jacket pocket,Left,,
3/6/2020 13:20:13,Pants pocket,Left,Front pocket,Womens
3/6/2020 13:23:29,Pants pocket,Right,Front pocket,Mens
3/6/2020 13:29:38,Coat/Jacket pocket,Right,,
3/6/2020 13:30:01,Coat/Jacket pocket,Right,,
3/6/2020 13:32:26,Coat/Jacket pocket,Right,,
3/6/2020 13:37:43,Pants pocket,Right,Front pocket,Mens
3/6/2020 14:00:44,Pants pocket,Right,Front pocket,Mens
3/6/2020 14:01:06,Pants pocket,Right,Front pocket,Mens
3/6/2020 14:01:37,Pants pocket,Right,Front pocket,Mens
3/6/2020 14:03:42,Coat/Jacket pocket,Right,,
3/6/2020 14:04:11,Pants pocket,Right,Front pocket,Mens
3/6/2020 14:04:59,Coat/Jacket pocket,Right,,
3/6/2020 14:05:53,Pants pocket,Right,Back pocket,Womens
3/6/2020 14:10:09,Pants pocket,Right,Front pocket,Mens
3/6/2020 14:13:50,Pants pocket,Left,Back pocket,Womens
3/6/2020 14:18:19,Coat/Jacket pocket,Right,,
3/6/2020 14:18:41,Pants pocket,Left,Front pocket,Mens
3/6/2020 14:18:58,Pants pocket,Left,Front pocket,Mens
3/6/2020 14:21:31,Pants pocket,Right,Front pocket,Mens
3/6/2020 14:25:00,Pants pocket,Right,Front pocket,Mens
3/6/2020 14:36:01,Pants pocket,Right,Back pocket,Womens
3/6/2020 14:39:03,Pants pocket,Left,Front pocket,Mens
3/6/2020 14:41:59,Pants pocket,Left,Front pocket,Mens
3/6/2020 14:42:00,Pants pocket,Left,Front pocket,Mens
3/6/2020 14:45:37,Pants pocket,Left,Front pocket,Mens
3/6/2020 14:46:11,Pants pocket,Left,Front pocket,Mens
3/6/2020 14:47:09,Pants pocket,Right,Back pocket,Womens
3/6/2020 14:51:21,Purse/Handbag,Right,,
3/6/2020 14:54:53,"Coat when wearing coat, pants otherwise",Right,Back pocket,Womens
3/6/2020 14:56:14,Pants pocket,Right,Front pocket,Mens
3/6/2020 14:57:29,Pants pocket,Right,Front pocket,Womens
3/6/2020 14:57:38,Coat/Jacket pocket,Left,,
3/6/2020 15:00:49,Purse/Handbag,Right,,
3/6/2020 15:05:16,Purse/Handbag,Right,,
3/6/2020 15:16:08,Pants pocket,Left,Front pocket,Mens
3/6/2020 15:16:34,Pants pocket,Left,Front pocket,Mens
3/6/2020 15:17:39,Pants pocket,Left,Front pocket,Mens
3/6/2020 15:19:34,Purse/Handbag,Left,,
3/6/2020 15:20:28,Pants pocket,Right,Front pocket,Mens
3/6/2020 15:20:30,Pants pocket,Right,Front pocket,Mens
3/6/2020 15:24:05,Coat/Jacket pocket,Right,,
3/6/2020 15:24:51,Pants pocket,Right,Front pocket,Mens
3/6/2020 15:30:02,Coat/Jacket pocket,Right,,
3/6/2020 15:40:25,Pants pocket,Left,Front pocket,Mens
3/6/2020 15:41:17,Pants pocket,Right,Front pocket,Mens
3/6/2020 15:42:20,Coat/Jacket pocket,Right,,
3/6/2020 15:47:14,Pants pocket,Right,Back pocket,Womens
3/6/2020 15:49:30,Pants pocket,Left,Back pocket,Womens
3/6/2020 15:51:24,Pants pocket,Left,Front pocket,Mens
3/6/2020 15:56:38,Pants pocket,Right,Front pocket,Mens
3/6/2020 16:00:01,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:05:14,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:05:33,Pants pocket,Right,Front pocket,Mens
3/6/2020 16:05:49,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:08:16,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:10:01,Pants pocket,Right,Front pocket,Mens
3/6/2020 16:15:40,Pants pocket,Right,Back pocket,Womens
3/6/2020 16:21:00,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:21:44,Pants pocket,Right,Front pocket,Mens
3/6/2020 16:23:18,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:23:20,Coat/Jacket pocket,Right,,
3/6/2020 16:23:33,Pants pocket,Right,Back pocket,Mens
3/6/2020 16:24:18,Pants pocket,Left,Front pocket,Womens
3/6/2020 16:26:28,Coat/Jacket pocket,Right,,
3/6/2020 16:26:29,Purse/Handbag,Right,,
3/6/2020 16:27:52,Coat/Jacket pocket,Right,,
3/6/2020 16:28:14,Pants pocket,Right,Front pocket,Mens
3/6/2020 16:30:11,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:31:03,"On my desk when at work, in pocket when at home. ",Right,Back pocket,Womens
3/6/2020 16:35:14,Pants pocket,Right,Front pocket,Mens
3/6/2020 16:35:39,Pants pocket,Right,Back pocket,Mens
3/6/2020 16:38:12,"All of the above, it depends how rushed I am",Right,Front pocket,Mens
3/6/2020 16:40:17,Coat/Jacket pocket,Right,,
3/6/2020 16:42:02,Pants pocket,Right,Front pocket,Mens
3/6/2020 16:43:20,Pants pocket,Right,Back pocket,Womens
3/6/2020 16:44:52,Pants pocket,Right,Front pocket,Womens
3/6/2020 16:45:07,Coat/Jacket pocket,Right,,
3/6/2020 16:45:11,Pants pocket,Right,Front pocket,Mens
3/6/2020 16:46:44,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:49:07,Pants pocket,Right,Back pocket,Womens
3/6/2020 16:51:10,Purse/Handbag,Left,,
3/6/2020 16:52:55,Purse/Handbag,Left,,
3/6/2020 16:53:03,Pants pocket,Right,Back pocket,Womens
3/6/2020 16:53:15,Pants pocket,Right,Back pocket,Womens
3/6/2020 16:53:21,Pants pocket,Left,Front pocket,Mens
3/6/2020 16:56:21,Pants pocket,Right,Back pocket,Womens
3/6/2020 16:57:18,Pants pocket,Left,Back pocket,Mens
3/6/2020 17:00:33,Pants pocket,Left,Front pocket,Mens
3/6/2020 17:01:34,Pants pocket,Right,Front pocket,Womens
3/6/2020 17:01:41,Coat/Jacket pocket,Right,,
3/6/2020 17:02:09,Pants pocket,Left,Front pocket,Mens
3/6/2020 17:04:15,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:04:35,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:07:49,Pants pocket,Left,Back pocket,Mens
3/6/2020 17:08:40,"All of these places depending on my situation. If I have a jacket, it's jacket. Then purse unless I'm waiting for something/in text convo - then it's back left pocked. I am left handed.",Left,Back pocket,Womens
3/6/2020 17:09:32,Coat/Jacket pocket,Left,,
3/6/2020 17:10:56,Pants pocket,Right,Back pocket,Womens
3/6/2020 17:13:00,Coat/Jacket pocket,Right,,
3/6/2020 17:14:52,Coat/Jacket pocket,Left,,
3/6/2020 17:17:45,Pants pocket,Right,Back pocket,Womens
3/6/2020 17:23:39,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:27:45,Coat/Jacket pocket,Right,,
3/6/2020 17:35:23,Coat/Jacket pocket,Right,,
3/6/2020 17:36:55,Pants pocket,Left,Front pocket,Mens
3/6/2020 17:37:58,Coat/Jacket pocket,Right,,
3/6/2020 17:39:06,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:39:20,Pants pocket,Left,Front pocket,Mens
3/6/2020 17:39:38,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:44:29,Pants pocket,Left,Front pocket,Womens
3/6/2020 17:46:08,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:46:57,"Pants pocket and purse, depending on my setting",Right,Back pocket,Womens
3/6/2020 17:47:22,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:50:46,Pants pocket,Right,Front pocket,Womens
3/6/2020 17:50:52,Pants pocket,Right,Front pocket,Mens
3/6/2020 17:56:52,Pants pocket,Left,Front pocket,Mens
3/6/2020 17:57:41,Pants pocket,Left,Back pocket,Mens
3/6/2020 18:02:52,Coat/Jacket pocket,Right,,
3/6/2020 18:05:21,Pants pocket,Right,Front pocket,Mens
3/6/2020 18:07:23,Purse/Handbag,Left,,
3/6/2020 18:07:25,Coat/Jacket pocket,Right,,
3/6/2020 18:14:49,Purse/Handbag,Left,,
3/6/2020 18:19:53,Pants pocket,Left,Front pocket,Mens
3/6/2020 18:22:15,Coat/Jacket pocket,Right,,
3/6/2020 18:23:34,Coat/Jacket pocket,Right,,
3/6/2020 18:26:27,Pants pocket,Right,Front pocket,Mens
3/6/2020 18:32:54,Pants pocket,Right,Front pocket,Mens
3/6/2020 18:34:10,Pants pocket,Right,Front pocket,Mens
3/6/2020 18:34:44,Pants pocket,Right,Back pocket,Womens
3/6/2020 18:34:50,Pants pocket,Right,Back pocket,Womens
3/6/2020 18:35:40,Pants pocket,Left,Front pocket,Mens
3/6/2020 18:36:09,Coat/Jacket pocket,Right,,
3/6/2020 18:36:27,Pants pocket,Right,Front pocket,Womens
3/6/2020 18:40:57,Holster,Right,Front pocket,Mens
3/6/2020 18:42:38,Pants pocket,Right,Front pocket,Mens
3/6/2020 18:54:14,Purse/Handbag,Left,,
3/6/2020 18:55:35,In my waistband,Right,Back pocket,Womens
3/6/2020 18:55:58,Coat/Jacket pocket,Right,,
3/6/2020 18:58:38,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:02:08,Pants pocket,Right,Front pocket,Womens
3/6/2020 19:03:05,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:03:39,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:05:13,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:06:37,Coat/Jacket pocket,Left,,
3/6/2020 19:08:05,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:10:18,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:10:33,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:10:43,Purse/Handbag,Left,,
3/6/2020 19:12:55,Coat/Jacket pocket,Right,,
3/6/2020 19:13:31,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:13:56,Coat/Jacket pocket,Right,,
3/6/2020 19:16:27,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:16:59,Purse/Handbag,Right,,
3/6/2020 19:17:19,Coat/Jacket pocket,Right,,
3/6/2020 19:18:29,Pants pocket,Left,Back pocket,Womens
3/6/2020 19:19:20,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:19:33,Purse/Handbag,Left,,
3/6/2020 19:20:50,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:20:58,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:21:15,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:22:28,Coat/Jacket pocket,Right,,
3/6/2020 19:23:45,Purse/Handbag,Left,,
3/6/2020 19:25:21,Back pants pocket or purse if not wearing pants with pockets. ,Right,Back pocket,Womens
3/6/2020 19:31:10,Pants pocket,Left,Back pocket,Womens
3/6/2020 19:31:14,Pants pocket,Right,Other pocket,Womens
3/6/2020 19:31:32,Pants pocket,Left,Front pocket,Womens
3/6/2020 19:31:56,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:32:17,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:35:56,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:36:47,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:37:45,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:38:11,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:39:08,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:39:29,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:41:28,Coat/Jacket pocket,Right,,
3/6/2020 19:46:56,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:49:12,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:54:13,Pants pocket,Right,Back pocket,Womens
3/6/2020 19:54:40,Pants pocket,Left,Back pocket,Mens
3/6/2020 19:56:37,Pants pocket,Right,Front pocket,Mens
3/6/2020 19:58:06,Pants pocket,Left,Front pocket,Mens
3/6/2020 19:58:43,Pants pocket,Left,Front pocket,Mens
3/6/2020 20:02:52,Backpack,Right,Front pocket,Mens
3/6/2020 20:06:51,Pants pocket,Right,Back pocket,Womens
3/6/2020 20:06:53,Purse/Handbag,Right,,
3/6/2020 20:11:15,Purse/Handbag,Right,,
3/6/2020 20:12:24,Pants pocket,Left,Front pocket,Mens
3/6/2020 20:13:59,Coat/Jacket pocket,Right,,
3/6/2020 20:14:11,Pants pocket,Right,Back pocket,Womens
3/6/2020 20:15:12,Pants pocket,Right,Front pocket,Mens
3/6/2020 20:15:21,Coat/Jacket pocket,Right,,
3/6/2020 20:15:52,Pants pocket,Right,Back pocket,Womens
3/6/2020 20:18:11,Purse/Handbag,Right,,
3/6/2020 20:19:42,Pants pocket,Right,Back pocket,Mens
3/6/2020 20:20:11,Pants pocket,Right,Front pocket,Mens
3/6/2020 20:20:27,Pants pocket,Left,Front pocket,Mens
3/6/2020 20:27:38,Pants pocket,Right,Front pocket,Mens
3/6/2020 20:30:36,Pants pocket,Left,Other pocket,Mens
3/6/2020 20:32:56,Pants pocket,Left,Back pocket,Mens
3/6/2020 20:34:44,Pants pocket,Right,Back pocket,Mens
3/6/2020 20:35:51,Pants pocket,Right,Front pocket,Womens
3/6/2020 20:38:23,Coat/Jacket pocket,Right,,
3/6/2020 20:40:38,Coat/Jacket pocket,Left,,
3/6/2020 20:40:57,Shirt pocket,Left,Front pocket,Mens
3/6/2020 20:44:07,Pants pocket,Right,Back pocket,Womens
3/6/2020 20:46:15,Pants pocket,Left,Front pocket,Womens
3/6/2020 20:47:55,Coat/Jacket pocket,Right,,
3/6/2020 20:49:21,Pants pocket,Right,Front pocket,Mens
3/6/2020 20:50:11,Pants pocket,Right,Front pocket,Mens
3/6/2020 20:50:32,Coat/Jacket pocket,Left,,
3/6/2020 20:58:33,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:00:06,Pants pocket,Left,Front pocket,Womens
3/6/2020 21:02:46,Anywhere it fits,Right,Front pocket,Mens
3/6/2020 21:04:53,Purse/Handbag,Right,,
3/6/2020 21:05:27,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:05:32,Pants pocket,Left,Back pocket,Womens
3/6/2020 21:06:54,Right in my hand because I don’t carry a purse and women’s pants don’t have pockets ,Right,Front pocket,Womens
3/6/2020 21:08:42,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:10:05,Coat/Jacket pocket,Right,,
3/6/2020 21:10:16,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:11:37,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:12:30,Between breasts,Right,Other pocket,Womens
3/6/2020 21:13:24,Purse/Handbag,Right,,
3/6/2020 21:15:06,Coat/Jacket pocket,Right,,
3/6/2020 21:15:28,Pants pocket,Right,Back pocket,Womens
3/6/2020 21:16:09,Coat/Jacket pocket,Right,,
3/6/2020 21:16:28,Pants pocket,Left,Front pocket,Mens
3/6/2020 21:18:46,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:23:46,Pants pocket,Right,Front pocket,Mens
3/6/2020 21:24:00,Pants pocket,Right,Back pocket,Womens
3/6/2020 21:24:07,Purse/Handbag,Right,,
3/6/2020 21:30:23,Purse/Handbag,Right,,
3/6/2020 21:31:07,Pants pocket,Right,Back pocket,Womens
3/6/2020 21:36:47,Pants pocket,Right,Front pocket,Mens
